postcode,lat,lon
2615,-35.2102,149.0541
2615,-35.2098,149.011
2615,-35.1987,149.0644
2616,-35.238,149.0663
2617,-35.2235,149.0863
2617,-35.2241,149.0998
2617,-35.238,149.0663
2617,-35.2119,149.0689
2617,-35.2109,149.096
2617,-35.2181,149.1052
2617,-35.2441,149.0908
2617,-35.2175,149.077
2618,-35.1685,149.0683
2900,-35.4183,149.0666
2900,-35.4165,149.0695
2901,-35.4247,149.0982
2902,-35.3862,149.058
2903,-35.4037,149.0847
2903,-35.4095,149.0786
2903,-35.3978,149.0909
2904,-35.4089,149.127
2904,-35.4158,149.0906
2904,-35.4119,149.109
2904,-35.405,149.1166
2905,-35.4404,149.1071
2905,-35.4199,149.1348
2905,-35.4496,149.1197
2905,-35.4279,149.1138
2905,-35.4125,149.1283
2905,-35.4283,149.088
2905,-35.4333,149.0782
2906,-35.4568,149.085
2906,-35.4719,149.0997
2906,-35.4593,149.1042
2911,-35.217,149.137
2911,-35.2283,149.1533
2911,-35.2028,149.1074
2912,-35.1867,149.1362
2913,-35.1489,149.1092
2913,-35.167,149.0947
2913,-35.1873,149.0965
2913,-35.1945,149.1194
2913,-35.1783,149.1124
2913,-35.1728,149.1115
2913,-35.1995,149.1433
2914,-35.1865,149.1621
2914,-35.1682,149.1461
2914,-35.1651,149.1179
2914,-35.1623,149.1386
2914,-35.1991,149.1563
2914,-35.1568,149.1288
2914,-35.1696,149.128
2540,-35.0036,150.586
1405,-33.8923,151.0473
1874,-33.9437,150.9566
2641,-36.0362,146.935
2641,-36.0379,146.9177
2641,-36.031,146.9478
2641,-36.0398,146.9396
2708,-34.7062,146.4742
3691,-36.2676,147.0798
2351,-30.7539,151.1366
2369,-29.9196,151.2146
2369,-29.9559,151.2125
2369,-29.8833,151.2167
2370,-29.6985,151.8679
2370,-29.7383,151.574
2370,-29.7734,151.4663
2370,-29.5833,152.1167
2370,-29.6574,151.9586
2370,-29.7757,151.8966
2370,-29.7976,152.2659
2370,-29.7349,151.7385
2370,-30.0333,152.0667
2370,-29.9475,152.0668
2370,-29.6666,151.9262
2370,-29.8164,151.7351
2370,-29.65,151.7833
2370,-29.7818,151.6679
2370,-29.5724,151.8663
2370,-28.5973,153.4457
2370,-29.5565,151.673
2370,-29.6334,151.5692
2370,-29.8006,152.0893
2370,-29.5167,151.75
2478,-28.8571,153.5874
2478,-28.8597,153.5354
2478,-28.7863,153.5189
2478,-28.7913,153.592
2478,-28.9152,153.4846
2478,-28.9115,153.4567
2478,-28.8841,153.5616
2478,-28.8641,153.5654
2478,-28.7988,153.522
2478,-28.9168,153.5153
2478,-28.8167,153.5
2478,-28.862,153.5329
2478,-28.8225,153.5284
2478,-28.8935,153.549
2478,-28.9474,153.5147
2478,-28.8289,153.6021
2479,-28.7275,153.469
2479,-28.7688,153.4985
2479,-28.7658,153.5371
2479,-28.6828,153.593
2479,-28.6333,153.4833
2479,-28.7465,153.5087
2479,-28.6522,153.5585
2479,-28.6863,153.5215
2479,-28.7057,153.5176
2479,-28.7206,153.529
2479,-28.6773,153.4958
2479,-28.7016,153.4988
2480,-28.7493,153.2724
2480,-28.6126,153.1727
2480,-28.6186,153.2928
2480,-28.3167,153.35
2480,-28.8302,153.2036
2480,-28.8,153.3833
2480,-28.5349,153.1585
2480,-28.6818,153.4346
2480,-28.8833,153.2
2480,-28.7793,153.1135
2480,-28.7152,153.301
2480,-28.7482,153.2915
2480,-28.746,153.4522
2480,-28.6396,153.3145
2480,-28.6562,153.1803
2480,-28.6569,153.2281
2480,-28.8299,153.3357
2480,-28.8403,153.3487
2480,-28.8413,153.2536
2480,-28.8893,153.2991
2480,-28.8521,153.2906
2480,-28.7508,153.2248
2480,-28.6575,153.3547
2480,-28.5954,153.2234
2480,-28.7755,153.1501
2480,-28.6667,153.4
2480,-28.7888,153.2803
2480,-28.5448,153.1868
2480,-28.7603,153.2384
2480,-28.6485,153.4512
2480,-28.85,153.2667
2480,-28.6031,153.0298
2480,-28.9333,153.3167
2480,-28.8163,153.2562
2480,-28.6863,153.0489
2480,-28.5998,153.4011
2480,-28.7833,153.2
2480,-28.7091,153.3624
2480,-28.9667,153.3167
2480,-28.8852,153.2397
2480,-28.6716,153.2797
2480,-28.9339,153.2784
2480,-28.6846,153.3177
2480,-28.7312,153.4074
2480,-28.8135,153.2773
2480,-28.7,153.0333
2480,-28.5817,153.1641
2480,-28.7233,153.327
2480,-28.7818,153.1679
2480,-28.801,153.3005
2480,-28.7825,153.2434
2480,-29.0581,153.2822
2480,-28.8169,153.2779
2480,-28.6516,153.1108
2480,-28.9833,153.3833
2480,-28.7499,153.35
2480,-28.8167,153.3167
2480,-28.6302,153.4075
2480,-28.9015,153.3725
2480,-28.7485,153.1679
2480,-28.8259,153.2888
